Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,Scientific and technical journal articles,IP.JRN.ARTC.SC,329067.39,355650.59,385100.77,406733.9,436613.57,468712.74,532295.26,617494.48,672734.7,766200.41,898949.09,..
Colombia,COL,Scientific and technical journal articles,IP.JRN.ARTC.SC,4076.94,4525.2,4993.33,5383.5,6417.19,6701.16,7531.98,8752.82,9599.78,10300.11,9683.4,..
Comoros,COM,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.2,8.93,1.51,1.74,4.84,3.89,3.07,3.79,3.51,4.82,3.74,..
"Congo, Dem. Rep.",COD,Scientific and technical journal articles,IP.JRN.ARTC.SC,70.06,67.57,86.12,98.77,97.2,123.04,141.87,138.67,175.79,213.24,237.5,..
"Congo, Rep.",COG,Scientific and technical journal articles,IP.JRN.ARTC.SC,54.44,51.36,70.56,78.11,76.62,66.74,62.22,76.77,75.72,88.68,90.39,..
Costa Rica,CRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,311.7,275.45,365.39,363.09,425.5,483.69,542.38,631.94,702.29,753.03,711.36,..
Cote d'Ivoire,CIV,Scientific and technical journal articles,IP.JRN.ARTC.SC,185.59,157.68,181.43,177.4,174.13,205.54,248.35,241.19,249.23,334.45,297.65,..
Croatia,HRV,Scientific and technical journal articles,IP.JRN.ARTC.SC,4442.57,4241.78,4062.94,4115.56,4068.08,4433.35,4721.48,4751.25,5066.8,5782.73,5711.14,..
Cuba,CUB,Scientific and technical journal articles,IP.JRN.ARTC.SC,1526.64,1570.27,1471.66,1342.36,1158.34,1134.65,1167.92,1115.94,1366.16,1532.31,1237.5,..
Curacao,CUW,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Scientific and technical journal articles,IP.JRN.ARTC.SC,798.85,964.53,914.61,937.96,1071.31,1223.71,1296.14,1351.09,1466.69,1733.92,1866.52,..
Czechia,CZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,13617.94,13764.71,15039.45,16488.26,16418.09,16387.57,15899.72,16546.99,15501.35,15882.75,14425.23,..
Denmark,DNK,Scientific and technical journal articles,IP.JRN.ARTC.SC,12398.11,12912.29,14140.3,14343.41,14395.75,14654.73,14802.91,15073.24,15427.2,16242.39,16126.02,..
Djibouti,DJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.42,6.45,7.51,5.71,4.19,5.24,6.54,4.88,10.48,8.2,13.16,..
Dominica,DMA,Scientific and technical journal articles,IP.JRN.ARTC.SC,11.84,12.08,9.21,10.28,10.8,12,11.83,5.15,5.46,6.91,5.17,..
Dominican Republic,DOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,25.65,40.72,42.42,34.66,36.46,48.5,54.97,71.11,90.86,112.22,109.82,..
Ecuador,ECU,Scientific and technical journal articles,IP.JRN.ARTC.SC,244.88,261.98,406.82,657.3,1152.65,1599.51,2166.56,2457.62,2930.96,3095.23,3573.97,..
"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,IP.JRN.ARTC.SC,8281.32,8509.71,9014.75,9709.94,11127.39,11187.53,13196.84,15448.49,18009.29,21379.39,24025,..
El Salvador,SLV,Scientific and technical journal articles,IP.JRN.ARTC.SC,19.87,15.39,18.89,24.62,29.01,29.67,46.52,25.85,19.21,33.42,54.79,..
Equatorial Guinea,GNQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.32,2.14,2.36,4.05,4.85,2.96,2.6,4.07,1.7,4.42,2.99,..
